            -14.4383            -11.6271
            -14.5287             -11.571
            -14.5967             -11.476
            -14.6508            -11.3686
            -14.6867            -11.2694
            -14.7382             -11.103
            -14.7719            -10.9939
            -14.7825            -10.9552
            -14.8126            -10.8581
             -14.851             -10.689
            -14.8596            -10.6622
            -14.8651            -10.6412
            -14.9139            -10.5241
            -14.9493            -10.3744
            -14.9535            -10.3548
             -14.991            -10.2401
            -14.9965            -10.1925
            -15.0226            -10.0551
            -15.0364            -10.0265
            -15.0418            -9.82963
            -15.0615            -9.78872
            -15.1058            -9.75601
            -15.1365            -9.64058
            -15.1429            -9.61353
             -15.164              -9.523
            -15.1743            -9.47622
            -15.1781            -9.40223
            -15.1864            -9.35572
            -15.1973            -9.31264
            -15.2375            -9.21152
            -15.2827            -9.00596
            -15.3068            -8.90579
            -15.3159            -8.87416
            -15.3399            -8.67206
            -15.3729            -8.61763
            -15.4078            -8.50192
            -15.4329            -8.41334
            -15.4353            -8.40688
            -15.5174            -8.11525
            -15.5338            -8.05922
            -15.5697            -7.92072
            -15.5713            -7.90796
            -15.5839            -7.90266
            -15.6011            -7.83707
            -15.6399            -7.75307
            -15.8808            -7.75148
            -15.9356             -7.7125
            -16.0267            -7.60142
            -16.0724            -7.49161
             -16.128            -7.24203
            -16.1304            -7.22464
            -16.2022             -7.0971
            -16.2184            -7.04148
             -16.278             -6.7915
            -16.3002            -6.66978
            -16.3062            -6.64894
            -16.3117            -6.63194
            -16.3492             -6.5038
            -16.3545            -6.48968
            -16.3629            -6.43994
            -16.3897            -6.32417
            -16.4062             -6.2421
            -16.4094            -6.21704
            -16.4322            -6.08943
            -16.4465            -6.03643
            -16.4636            -5.94159
            -16.4957            -5.80182
             -16.511            -5.75812
            -16.5134            -5.74389
             -16.521            -5.66702
            -16.5593            -5.51709
            -16.5655            -5.49093
            -16.6034            -5.28281
            -16.6264             -5.1746
            -16.6278            -5.14917
            -16.6822            -4.91897
            -16.7092            -4.76094
            -16.7296            -4.71693
            -16.7406            -4.65196
            -16.7667            -4.58081
            -16.7776            -4.54128
            -16.8091             -4.4078
            -16.8171            -4.37657
            -16.8172            -4.35319
            -16.8318            -4.34639
            -16.8671            -4.21399
            -16.8744            -4.20991
            -16.9273            -4.08405
            -16.9956            -3.96057
            -17.0464             -3.8723

            -17.9442            -3.86931
            -17.9584            -3.86412
            -18.0289            -3.75588
            -18.0619            -3.66654
            -18.1048            -3.53001
            -18.1457             -3.3582
            -18.1807            -3.22308
            -18.1946            -3.14925
            -18.2116            -3.07251
            -18.2198            -3.02864
            -18.2521            -2.88263
             -18.275            -2.74432
            -18.3004            -2.61069
            -18.3384            -2.43182
            -18.3399            -2.38225
            -18.3671            -2.30896
            -18.3948            -2.16851
             -18.421            -2.05013
            -18.4516            -1.91463
            -18.4516            -1.91463
             -18.487            -1.75259
            -18.5039            -1.62746
            -18.5111            -1.54277
            -18.5346            -1.53468
            -18.5688            -1.37129
            -18.5732            -1.33721
            -18.5901            -1.25324
            -18.5973            -1.14073
            -18.6312            -1.10237
            -18.6427           -0.948088
             -18.734           -0.791139
            -18.7728           -0.669026
            -18.7893            -0.61166
            -18.8024           -0.582165
            -18.8183           -0.539048
             -18.855             -0.4032
            -18.8713           -0.399646
            -18.8768           -0.339976
            -18.9393           -0.204834
            -18.9468           -0.140125
            -18.9791          -0.0969364
             -18.981          -0.0758499
            -19.0195          -0.0199926
              -19.09            0.018926

            -19.9848           0.0269607
            -19.9848           0.0269607
